SQL,ERROR_REASON,ERROR_MSG,ACTUAL_RESULT,EXPECTED_RESULT,SUPER_TAG,TAG,DESCRIPTION
"COPY customer FROM 'test/sakila/data/customer.csv' (HEADER, DELIMITER '|')",3,"IO Error: No files found that match the pattern ""test/sakila/data/customer.csv""",False,True,Environment,File Paths,Environment difference of file structures
insert into test_table SELECT * FROM test_table_view,3,"Catalog Error: Table with name test_table_view does not exist!
Did you mean ""test_table""?",False,True,Environment,File Paths,Environment difference of file structures
"SELECT IFELSE(0,'true','false')",12,Result MisMatch,false,False,Client,Data Type,Boolean
"SELECT IFELSE(a = 1, 'true', 'false') FROM integers",12,Result MisMatch,true,True,Client,Data Type,Boolean
"SELECT
    col1 IN (SELECT ColID FROM tbl_ProductSales)
FROM another_T
GROUP BY ROLLUP(col1)",12,Result MisMatch,"False
False
False
NULL
True","0
0
0
1
NULL",Client,Data Type,Boolean
"SELECT
    DISTINCT
    NOT col1 IN (SELECT col2 FROM another_T GROUP BY col2)
FROM another_T
GROUP BY ROLLUP(col1)",12,Result MisMatch,"NULL
True","1
NULL",Client,Data Type,Boolean
"SELECT IFELSE(1,'true','false')",12,Result MisMatch,true,True,Client,Data Type,Boolean
select list_entropy(k) from aggr;,5,Result MisMatch,"0.0
0.0
2.321928094887362
2.321928094887362
NULL","2.321928
0
0
NULL
2.321928",Client,Numeric,Float point precision
"select k, regr_avgx(v, v2) from aggr group by k;",5,Result MisMatch,"1	NULL
2	22.666666666666668","1	NULL
2	22.666667",Client,Numeric,Float point precision
"select regr_intercept(v, v2) from aggr;",5,Result MisMatch,1.1547344110854496,1.154734,Client,Numeric,Float point precision
"select k, regr_intercept(v, v2) from aggr group by k;",5,Result MisMatch,"1	NULL
2	1.1547344110854496","1	NULL
2	1.154734",Client,Numeric,Float point precision
"select  regr_avgx(v, v2) over (partition by k)
    from aggr;",5,Result MisMatch,"22.666666666666668
22.666666666666668
22.666666666666668
22.666666666666668
NULL","22.666667
22.666667
22.666667
22.666667
NULL",Client,Numeric,Float point precision
"select jaro_winkler_similarity('01000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000', '00000000000000000000000000000000000000000000000000000000000000000')",5,Result MisMatch,0.85234375,0.85234,Client,Numeric,Float point precision
"select jaro_winkler_similarity('elephant', 'hippo')",5,Result MisMatch,0.44166666666666665,0.44,Client,Numeric,Float point precision
"SELECT regexp_matches(s, '^a') FROM TEST;",11,Result MisMatch,True,aaa,Misc,Parser,Mislead by the result provided by test suite
select LTRIM(a) FROM strings,11,Result MisMatch,"Both 
Leading","(empty)
Leading
Both 
(empty)",Misc,Parser,Mislead by the result provided by test suite
"SELECT UNNEST(string_split(' 🦆🦆  🦆🦆', '  '))",11,Result MisMatch,"🦆🦆
🦆🦆"," 🦆🦆
🦆🦆",Misc,Parser,Mislead by the result provided by test suite
SELECT b::FLOAT FROM bits;,10,Result MisMatch,2.1019476964872256e-44,2.1e-44,Client,Numeric,Big integer representation
SELECT CAST('\x12' AS BLOB),8,Result MisMatch,b'\x12',\x12,Client,Numeric,Binary object difference
"insert into insertconflicttest values(0, 'Crowberry') on conflict (key) do update set fruit = excluded.fruit where excluded.fruit != 'Elderberry'; statement ok insert into insertconflicttest values (0, 'Bilberry') on conflict (key) do update set fruit = excluded.fruit where insertconflicttest.fruit != 'Lime' returning *",9,"Parser Error: syntax error at or near ""statement""
LINE 1: ... where excluded.fruit != 'Elderberry'; statement ok insert into insertconflict...
                                                  ^",False,True,Misc,Parser,Nested comments
